date,description,amount,category
2024-10-01,Swiggy Food Order,320,Food & Dining
2024-10-02,Metro Card Recharge,200,Transport
2024-10-03,Amazon Shopping,1450,Shopping
2024-10-04,Netflix Subscription,649,Entertainment
2024-10-05,Electricity Bill,1800,Utilities
2024-10-06,Uber Ride,180,Transport
2024-10-07,Zomato Order,280,Food & Dining
2024-10-08,Pharmacy,450,Health
2024-10-09,Grocery Store,1200,Food & Dining
2024-10-10,Petrol,800,Transport
2024-10-11,Movie Tickets,600,Entertainment
2024-10-12,Swiggy Food Order,350,Food & Dining
2024-10-13,Ola Ride,220,Transport
2024-10-14,Clothes Shopping,3200,Shopping
2024-10-15,Internet Bill,999,Utilities
2024-10-16,Gym Membership,1500,Health
2024-10-17,Zomato Order,410,Food & Dining
2024-10-18,Uber Ride,150,Transport
2024-10-19,Book Purchase,580,Shopping
2024-10-20,Doctor Visit,800,Health
2024-10-21,Swiggy Food Order,290,Food & Dining
2024-10-22,Bus Pass,500,Transport
2024-10-23,Amazon Shopping,2100,Shopping
2024-10-24,Spotify,119,Entertainment
2024-10-25,Water Bill,300,Utilities
2024-10-26,Zomato Order,370,Food & Dining
2024-10-27,Uber Ride,95,Transport
2024-10-28,Electronics Store,18500,Shopping
2024-10-29,Swiggy Food Order,260,Food & Dining
2024-10-30,Flight Ticket,12000,Travel
2024-11-01,Zomato Order,320,Food & Dining
2024-11-02,Metro Recharge,200,Transport
2024-11-03,Amazon Shopping,890,Shopping
2024-11-04,Hotel Booking,8500,Travel
2024-11-05,Electricity Bill,1950,Utilities
2024-11-06,Uber Ride,210,Transport
2024-11-07,Swiggy Food Order,340,Food & Dining
2024-11-08,Chemist,280,Health
2024-11-09,Grocery Store,1350,Food & Dining
2024-11-10,Petrol,850,Transport
2024-11-11,Concert Tickets,4500,Entertainment
2024-11-12,Zomato Order,290,Food & Dining
2024-11-13,Ola Ride,175,Transport
2024-11-14,Clothes Shopping,2800,Shopping
2024-11-15,Internet Bill,999,Utilities
2024-11-16,Swiggy Food Order,310,Food & Dining
2024-11-17,Gym Membership,1500,Health
2024-11-18,Uber Ride,130,Transport
2024-11-19,Book Purchase,420,Shopping
2024-11-20,Dentist,2500,Health
2024-11-21,Zomato Order,380,Food & Dining
2024-11-22,Bus Pass,500,Transport
2024-11-23,Amazon Shopping,1750,Shopping
2024-11-24,Netflix Subscription,649,Entertainment
2024-11-25,Water Bill,300,Utilities
2024-11-26,Swiggy Food Order,275,Food & Dining
2024-11-27,Uber Ride,165,Transport
2024-11-28,Luxury Watch,45000,Shopping
2024-11-29,Zomato Order,295,Food & Dining
2024-11-30,International Flight,35000,Travel
